;entities
471;['CARDINAL: 33', 'GPE: Irak']
472;['MONEY: 295danske kroner']
473;['EVENT: coronapandemien']
474;['TIME: eftermiddag']
475;['EVENT: Golfkrigen', 'FACILITY: Vor Frue Kirke - Københavns Domkirke', 'WORK OF ART: Barndommens Gade', 'LANGUAGE: spansk']
476;['NORP: norsk']
477;['NORP: muslimerne', 'FACILITY: Skt. Laurentii Kirkeruin']
478;['GPE: Gilleleje', 'QUANTITY: 33 m']
479;['FACILITY: Isbjerget {apartment complex}']
480;['NORP: Inuit Ataqatigiit']
481;['LOCATION: Lolland-Falster', 'PERSON: Adams']
482;['ORGANIZATION: forsvaret']
483;['EVENT: De olympiske lege', 'NORP: danskere']
484;['LANGUAGE: hausa', 'QUANTITY: halvfjerds hundrede liter', 'PERCENT: 67 %']
485;['LANGUAGE: panjabi']
486;['PERCENT: 94%', 'LANGUAGE: italiensk']
487;['ORGANIZATION: Dagrofa Logistiks', 'PERSON: Maja Skov Von Qualen', 'NORP: Dansk Folkeparti (DF)']
488;['PERSON: Tarzan', 'PERSON: Jeanett T. Astrup', 'PERSON: Jim Carrey']
489;['LANGUAGE: spansk']
490;['MONEY: 39kr.', 'LANGUAGE: dansk', 'PERCENT: 56 %']
491;['QUANTITY: 332 L', 'GPE: Struer', 'PERSON: Marley B. Brix', 'DATE: overmorgen']
492;['LOCATION: Nordjylland']
493;['PERSON: Rasmussen', 'QUANTITY: 3075 m']
494;['PERCENT: 53 %', 'DATE: i går']
495;['GPE: Aserbajdsjan', 'ORGANIZATION: Vestas', 'PRODUCT: Deluxe Railway Set {toy}']
496;['ORGANIZATION: Dyson', 'PRODUCT: Cyclone V10']
497;['ORGANIZATION: Køge kommune']
498;['NORP: De Radikale', 'QUANTITY: 267 kg']
499;['PERSON: Abdel X. Droob', 'PRODUCT: Kähler vase']
500;['LOCATION: Tenerife', 'PERCENT: fem procent', 'CARDINAL: en fjerdedel', 'NORP: Danmarksdemokraterne']
501;['LOCATION: Randers', 'LAW: 2019/944/EU', 'ORDINAL: 7.']
502;['LAW: Lov om ændring af lov om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder m.v.']
503;['LOCATION: Lolland-Falster']
504;['QUANTITY: 35kilometer', 'LOCATION: Lolland-Falster']
505;['PRODUCT: Kiruna Padded Parka']
506;['GPE: Danmark', 'ORGANIZATION: @NASA {twitter handle}', 'DATE: Mandag']
507;['GPE: Lille Skensveds']
508;['LOCATION: Fyn']
509;['LOCATION: Anholt']
510;['PERSON: Josephine Skrivers', 'FACILITY: Hans Tavsens Hus']
511;['CARDINAL: 10039']
512;['PERSON: Jonatan', 'PERCENT: 98.67%']
513;['LOCATION: Nordjylland', 'DATE: 15/05/96']
514;['PERSON: Amalia Bech Rosendahl']
515;['PERSON: Kilic', 'CARDINAL: halvdelen', 'PERSON: K.K. Steincke']
516;['MONEY: halvfems tusinde dkk', 'PERSON: Laura B. Johannsens', 'PERSON: Kilic']
517;['LOCATION: Vestjylland', 'LOCATION: Esbjerg V']
518;['DATE: 2013', 'QUANTITY: tyve hundrede ppm', 'GPE: Libyen']
519;['CARDINAL: 9', 'LOCATION: Rubjerg Knude', 'LOCATION: Jylland', 'ORGANIZATION: BYGMA']
520;['CARDINAL: 9', 'WORK OF ART: PacMan', 'MONEY: 1687kr.']
521;['GPE: København']
522;['LOCATION: Sydsjælland']
523;['GPE: Serbiens']
524;['ORGANIZATION: Viborg kommune', 'FACILITY: Øresundstunnelen']
525;['LANGUAGE: italiensk', 'TIME: om dagen', 'LOCATION: Gudenåen']
526;['LOCATION: Midtfyn']
527;['PERSON: Naja', 'EVENT: 2.Verdenskrig', 'WORK OF ART: Paradise Hotel']
528;['PRODUCT: Matima O-Neck Tee']
529;['FACILITY: Stevnsfortet']
530;['GPE: Mexico']
531;['QUANTITY: tre mL']
532;['PERSON: Weber']
533;['PERSON: Yoda', 'PERSON: Inger']
534;['QUANTITY: 95hektar']
535;['ORGANIZATION: SIMAC - Svendborg International Maritime Academys']
536;['PERSON: Ruth Kjær Vilhelmsens']
537;['PRODUCT: Odense 1859 {beer}', 'GPE: KBH', 'ORGANIZATION: DLA Agro AmbAs']
538;['LOCATION: Randers NV', 'EVENT: 1.Verdenskrig']
539;['ORGANIZATION: Copenhagen Business School']
540;['WORK OF ART: Like a Rolling Stone']
541;['ORGANIZATION: IG {instagram}', 'PERCENT: 16 %']
542;['GPE: Holland']
543;['GPE: Sorø', 'TIME: i nat', 'PERSON: Peter']
544;['PERSON: Laura B. Johannsen', 'MONEY: 55 DKK', 'PERCENT: 32.94 %', 'LAW: Tvindloven']
545;['ORGANIZATION: Berlingske Media', 'LOCATION: Nilen']
546;['GPE: Aarhus', 'DATE: imorgen']
547;['QUANTITY: 14 kubikmeter']
548;['WORK OF ART: Græshoppens år', 'DATE: 14. Oktober 1992']
549;['QUANTITY: 176 KG']
550;['TIME: fem minutter']
551;['LANGUAGE: dansk']
552;['PERSON: Mai W. Dygs', 'DATE: 17/08/95']
553;['GPE: Haiti', 'ORGANIZATION: The Patriots']
554;['PERCENT: 33.13 %', 'DATE: Fredag, 13. Januar 1978']
555;['EVENT: 2. Verdenskrig']
556;['FACILITY: Søbygaard', 'PERCENT: 92.78 %']
557;['TIME: i nat']
558;['WORK OF ART: Olsen Banden-filmene']
559;"['EVENT: 9/11 {terror attack}', ""DATE: Mandag, 08. August '22""]"
560;['PERSON: Pyrus', 'LOCATION: Syddanmark']
561;['PERCENT: 78.49 %', 'WORK OF ART: Borgen', 'DATE: to måneder']
562;['EVENT: Grammy Awards']
563;['LOCATION: Sjælland']
564;['GPE: Aars', 'QUANTITY: 196 kilometer']
565;['WORK OF ART: Dicte {tv series}', 'LAW: Lastbilstilskudsloven']
566;['PRODUCT: Hammershøi Vase']
567;['GPE: Rom']
568;['NORP: de irreligiøse']
569;['EVENT: X Factor-finalen 2023']
570;['EVENT: Krigen i Ukraine']
571;['PERSON: Michael Laudrup', 'DATE: ni år']
572;['PERSON: Ghita', 'ORGANIZATION: Podimo']
573;['PERSON: Johann Q. Elstrøm']
574;['GPE: Tunesien']
575;['NORP: buddhistisk', 'ORDINAL: 1.']
576;['PRODUCT: Desert Eagle']
577;['NORP: muslimsk', 'LANGUAGE: græsk']
578;['EVENT: VM i ishockey, Herning og København', 'PERSON: Erik']
579;['PERSON: Gry Skov']
580;['MONEY: 95€', 'MONEY: GBP 267']
581;['EVENT: Minksagen {scandal}', 'DATE: Marts']
582;['EVENT: Aalborg Karneval', 'DATE: Oktober']
583;['WORK OF ART: Rockstar', 'FACILITY: Ribe Domkirke', 'QUANTITY: 135meter', 'PERSON: Harald Lander']
584;['PERSON: Nicklas', 'GPE: Tilst']
585;['LAW: LEV-loven']
586;['PERSON: Jørn', 'PERSON: Nicky V. Olsens']
587;['ORGANIZATION: Sonos', 'PRODUCT: One SL']
588;['NORP: Det Radikale Venstre', 'ORGANIZATION: Twitter', 'GPE: Etiopien', 'DATE: November']
589;['PERCENT: halvtreds procent', 'GPE: Jordan', 'GPE: Rødekro', 'PERCENT: 26.47 %']
590;['QUANTITY: 290 m^2', 'NORP: muslimer', 'LANGUAGE: english']
591;['MONEY: 3221 kr', 'QUANTITY: 259 kilometer']
592;['FACILITY: dyregården']
593;['PERCENT: tolv procent', 'CARDINAL: otte']
594;['GPE: Aalborg']
595;['PERSON: Anja', 'WORK OF ART: Rita {tv series}']
596;['GPE: Finland']
597;['ORGANIZATION: Jyllands-Posten', 'GPE: Aalborg']
598;['LOCATION: Grenen {sandbar spit}', 'GPE: Singapores', 'QUANTITY: 219 gram']
599;['ORDINAL: 3.', 'ORGANIZATION: Bestseller', 'GPE: Sverige', 'PERSON: Winnie P. Balle']
600;['QUANTITY: 185KM', 'GPE: Estland']
601;['QUANTITY: 252 kilometer']
602;['FACILITY: Stongehenge']
603;['ORDINAL: 8.']
604;['WORK OF ART: Det forsømte forår', 'ORGANIZATION: Bagsværd Lakrids', 'GPE: Letland', 'GPE: Belgien']
605;['LANGUAGE: bokmål', 'MONEY: DKK 278', 'ORGANIZATION: GOGs {handball team}']
606;['LOCATION: Midt- og Vestjylland']
607;['DATE: 06. August 2007']
608;['PERSON: Ahmed Jønson Dalgaard', 'WORK OF ART: Det forsømte forår', 'ORDINAL: første']
609;['EVENT: Holocaust']
610;['ORGANIZATION: Danish Agro']
611;['CARDINAL: 7']
612;['DATE: 3 år', 'PERSON: Augusta Albertsen']
613;['PERSON: Antonio']
614;['PERSON: Kaspar M. Clausen', 'WORK OF ART: En Verden Udenfor']
615;['ORGANIZATION: OK {energy company}']
616;['TIME: et halvt døgn']
617;['PERSON: Magne Sommer']
618;['PERSON: Steen']
619;['PERSON: Garfield']
620;"['MONEY: sytten kroner', ""PRODUCT: NATURLI' havredrik""]"
621;['ORDINAL: 16.']
622;['QUANTITY: 109 m^3', 'PERCENT: halvfems procent']
623;['WORK OF ART: Græshoppens år']
624;['FACILITY: LEGO House']
625;['LANGUAGE: danish']
626;['PERCENT: 17.03%']
627;['GPE: Kinas']
628;['MONEY: 176kr.']
629;['ORGANIZATION: SKAT', 'WORK OF ART: The SIMS']
630;['LOCATION: det Indiske Ocean']
631;['WORK OF ART: Danmarksfilm {book}']
632;['PERSON: Elise Henriksen De Blanck']
633;['QUANTITY: tolv decimeter', 'DATE: 31/01/85']
634;['PRODUCT: Tosca Anju Hat']
635;['WORK OF ART: GTA V', 'CARDINAL: fem']
636;"[""DATE: Torsdag, 08. September '16"", 'LANGUAGE: hindi']"
637;['PERSON: Martin Asmussens', 'QUANTITY: 295 kilometer', 'PERSON: Søren Kirkegaards', 'WORK OF ART: Enten-Eller']
638;['LOCATION: Midtfyn']
639;['DATE: 23-10-2004']
640;['ORGANIZATION: @nytimes {twitter handle}', 'GPE: Ballerup']
641;['ORGANIZATION: Haribo', 'PRODUCT: Vampyrer']
642;['PERSON: Tom Kristensen', 'QUANTITY: 96L']
643;['FACILITY: Fuglebjerggård', 'PERSON: Lissi', 'MONEY: 7417kroner']
644;['GPE: Bukarest']
645;['LOCATION: Rebild Bakker', 'EVENT: nytårsaften']
646;['ORDINAL: 2.']
647;['PERSON: Kirsten Torp']
648;['FACILITY: Korsbrødregården', 'ORGANIZATION: Dupont Nutrition Biosciences ApSs', 'EVENT: COP20', 'PERSON: Li']
649;['GPE: Helsinge']
650;['WORK OF ART: Forsidefruer', 'PERCENT: 13 %', 'PERSON: Mariane Natalia', 'PRODUCT: iPhone 14 Plus']
651;['LAW: § 11, stk. 1, nr. 4.', 'NORP: svensker']
652;['NORP: dansker', 'EVENT: GRØN {festival}', 'MONEY: en krone']
653;['ORGANIZATION: Skjern {handball team}']
654;['GPE: Odder', 'NORP: Enhedslisten']
655;['WORK OF ART: GTA V']
656;['PERSON: Solvej Balle', 'WORK OF ART: Om udregning af rumfang']
657;['FACILITY: Brummers Gaard', 'ORGANIZATION: kvindelandsholdets', 'PERSON: Sine']
658;['GPE: Spaniens']
659;['PERSON: Tetiana Kærgaard']
660;['WORK OF ART: Biblen']
661;['PERCENT: ti procent', 'ORGANIZATION: LG', 'PRODUCT: 42LX1Q6']
662;['TIME: en time']
663;['FACILITY: Keopspyramiden', 'LANGUAGE: suomi', 'GPE: Hornslet', 'PERSON: Hugo Helmig', 'WORK OF ART: Wild']
664;['WORK OF ART: Bezzerwizzer', 'LOCATION: Esbjerg Ø', 'GPE: Hjortshøj']
665;['GPE: Herning']
666;['EVENT: Anden Verdenskrig', 'PRODUCT: Oatly Oat Drink Barista']
667;['ORDINAL: tredje', 'FACILITY: CPH lufthavn', 'ORDINAL: 1.']
668;['PERSON: Villiam', 'GPE: England', 'EVENT: Super Bowl XLV']
669;['PERSON: Alan A. Ibrahim']
670;['GPE: Esbjerg']
671;['FACILITY: Capilano Suspension Bridge', 'DATE: elleve måneder', 'LANGUAGE: mandarin', 'LANGUAGE: dansk']
672;['MONEY: 113dkk', 'ORGANIZATION: New York Knicks', 'PERSON: Maiken A. Buch']
673;['PERSON: Lajla A.s']
674;['QUANTITY: 295 kilometer', 'TIME: kl 10:15']
675;['ORGANIZATION: RUCs {university}', 'PERCENT: 39 %']
676;['PRODUCT: Jackie Year Bird 2023 {wooden figure}', 'MONEY: 219øre']
677;['TIME: 14-16 minutter']
678;['GPE: Pakistan']
679;['QUANTITY: 193 dusin', 'CARDINAL: 8']
680;['PERSON: Johan']
681;['MONEY: 278 kr.', 'PERSON: Hr. Skæg']
682;['PERSON: Danny Kønig Juncker']
683;['NORP: spanioler']
684;['PERSON: Kirsten Torp', 'TIME: 12.00-16.15', 'ORGANIZATION: Marshall', 'PRODUCT: Major IV']
685;['QUANTITY: 205 KG', 'DATE: 22. Oktober 1999', 'GPE: Sverige']
686;['PERCENT: 92.78 %', 'PERCENT: 1 %', 'EVENT: FE-sagen {scandal}']
687;['GPE: Samsø']
688;['CARDINAL: syv']
689;['FACILITY: Flemming Bamse Jørgensens Plads']
690;['PERSON: Lena Renate']
691;['FACILITY: Skovtårnet']
692;['ORGANIZATION: FBI']
693;['DATE: sidste år', 'PERSON: Berit Seemann Foghs', 'NORP: polsk']
694;['EVENT: Halloween']
695;"['ORGANIZATION: Nets {payment system}', 'GPE: CPH', ""PRODUCT: Ben & Jerry's Cookie Dough""]"
696;['NORP: ateisterne', 'DATE: April', 'ORGANIZATION: Fyens Stiftstidendes']
697;['PERCENT: 98.25 %']
698;['PRODUCT: Acqua Di Gio Deodorant Spray']
699;['MONEY: 76 $']
700;['LOCATION: Midtfyn', 'PRODUCT: Titanium Chef Baker XL']
701;['PERSON: Rasmus Seebach', 'WORK OF ART: Uanset']
702;['PERSON: Ebba Ankjær']
703;['EVENT: OL 2016', 'CARDINAL: 10.5']
704;['TIME: 5-10 timer', 'TIME: i aftes', 'MONEY: 176kr.', 'PERCENT: 17.03 %']
705;['WORK OF ART: Hjørringvej {movie}']
706;['GPE: Schweiz', 'GPE: Pakistan', 'ORDINAL: 15.', 'ORGANIZATION: Jyllands-Postens']
707;['GPE: Berlin', 'ORGANIZATION: TikTok']
708;['QUANTITY: 329 gram']
709;['PERSON: Tom Kristensens']
710;['PRODUCT: Easy pro frituregryde FR333070']
711;['PERSON: Inga N.s', 'QUANTITY: tretten hundrede ton', 'LAW: Navneloven']
712;['QUANTITY: 87 millimeter', 'ORGANIZATION: Information']
713;['GPE: Cuba']
714;['PERCENT: 36.03%']
715;['ORGANIZATION: Apple {company}', 'DATE: i morgen']
716;['PERSON: Erling Vester Skotte', 'LOCATION: Sydsjælland', 'LOCATION: Mors']
717;['GPE: Zagreb', 'PERSON: Sherlock Holmes']
718;['PERSON: Tonny H.']
719;['PERSON: Frank Olsen', 'PRODUCT: Pepsi Max', 'LAW: Natur- og Miljøklagenævnsloven']
720;['TIME: kl 06.48', 'GPE: Samsøs', 'NORP: Socialdemokratiet (S)']
721;['PERSON: Kanye West', 'WORK OF ART: FourFiveSeconds']
722;['PERCENT: halvfems procent']
723;['ORGANIZATION: Tulip Food Company']
724;['PERSON: Stefan Georg']
725;['PERSON: Anita', 'FACILITY: blåbærvænget', 'GPE: Aalborg']
726;['NORP: Sambandsflokkurin']
727;['LAW: Kvælstofoxiderafgiftsloven']
728;['GPE: Portugals']
729;['PERSON: Elise Henriksen De Blanck', 'PRODUCT: Barbie drømmecamper-eventyr', 'PERCENT: 57 %']
730;['EVENT: jul']
731;['TIME: en halv time']
732;['NORP: Dansk Folkeparti', 'LAW: ejendomsvurderingsloven']
733;['ORGANIZATION: CBS {university}', 'LOCATION: Syd- og Sønderjylland', 'FACILITY: Beijing Daxing International Airport']
734;['CARDINAL: 8']
735;['PERCENT: 6 %']
736;['PRODUCT: Gameboy', 'LAW: Innovationsloven']
737;"[""EVENT: Anime Expo 23'""]"
738;['PERSON: Safa Frederikke', 'PERSON: Rasmus Seebach', 'WORK OF ART: Uanset']
739;['ORGANIZATION: Nets {payment system}']
740;['LAW: lovbekendtgørelse nr. 1222']
741;['QUANTITY: 259L']
742;['QUANTITY: 196 centimeter', 'GPE: Beograd']
743;['MONEY: 196 $']
744;['PERSON: Ulrik']
745;['DATE: April', 'PERSON: Pernille Vermund', 'MONEY: to tusinde kr']
746;['NORP: dansk']
747;['TIME: kl 10.00', 'GPE: Lissabon']
748;['DATE: 2010', 'ORDINAL: niende']
749;['FACILITY: bregnegårdshaven']
750;['MONEY: 30kroner']
751;['PERSON: Merete']
752;['ORGANIZATION: @superligaens {twitter handle}', 'LANGUAGE: afrikaans', 'PERCENT: tres procent']
753;['PERSON: Thyge K. Dinesens', 'NORP: SF {political party}']
754;['PRODUCT: Kinderæg', 'LOCATION: Bornholm', 'TIME: 02:58']
755;"['DATE: et år', 'PERSON: Radoslaw Nissen', 'PRODUCT: Macbook Air 15"" M2', 'NORP: tyskere']"
756;['MONEY: 9678kroner']
757;['CARDINAL: 7', 'PERSON: Benjamin Lasnier', 'EVENT: nytår']
758;['PERSON: Veronica Ahmad Schultzs']
759;['ORGANIZATION: Shell', 'ORDINAL: første', 'DATE: 2009', 'GPE: Egå']
760;['WORK OF ART: Mens vi lever', 'DATE: 25-10-1980']
761;['GPE: Aabenraa', 'GPE: Sverige']
762;['GPE: Risskov']
763;['GPE: Bratislava']
764;['PERSON: Magnus', 'WORK OF ART: Moby Dick', 'MONEY: ni kroner', 'QUANTITY: otte tusinde meter']
765;['LOCATION: Vestjylland', 'ORGANIZATION: KitchenAid', 'PRODUCT: Artisan']
766;['PERSON: Mary']
767;['LANGUAGE: dansk', 'LOCATION: Syddanmark', 'PERCENT: 34 %']
768;['LOCATION: Randers SØ']
769;['CARDINAL: 3', 'PRODUCT: Kit Kat']
770;['LANGUAGE: litauisk', 'PRODUCT: Luna Parka 4', 'ORGANIZATION: Designskolens', 'ORGANIZATION: Circle K Danmark A/Ss']
771;['FACILITY: meteora-klostrene', 'GPE: Koldings']
772;['QUANTITY: 55km', 'PERCENT: 94.63 %', 'DATE: Tirsdag']
773;['GPE: Aarhus', 'ORGANIZATION: Energinet']
774;['LOCATION: Svalbard', 'MONEY: en krone']
775;['FACILITY: Nyholm']
776;['PERCENT: 57 %']
777;['WORK OF ART: Pride and Prejudice', 'FACILITY: Det kongelige teater']
778;['PERSON: Henrik Cavling']
779;['PERCENT: tusind procent']
780;['TIME: i aftes']
781;['MONEY: 295 kr.', 'LOCATION: Midtfyn']
782;['PERSON: Mikail Simonsen']
783;['ORGANIZATION: Syddansk']
784;['QUANTITY: 208centimeter']
785;['CARDINAL: 45', 'ORGANIZATION: Silkeborg kommune', 'PERSON: Flemming E. Bengtsson']
786;['PERSON: Rosenkilde', 'MONEY: 196kr']
787;['NORP: buddhister']
788;['PERSON: Suzanna Brøgger', 'PERSON: Nichlas E. Nicolaisen', 'GPE: Virums']
789;['PERCENT: 32 %']
790;['ORGANIZATION: Herning Blue Fox', 'MONEY: 9678kroner']
791;['TIME: om dagen', 'ORGANIZATION: KUs {university}', 'PRODUCT: Easy pro frituregryde FR333070']
792;['DATE: 21. April 1999', 'GPE: Amsterdam']
793;['PERCENT: 9.85 %']
794;['FACILITY: Københavns Rådhus']
795;['PERSON: Maya Sveistrup Kærgaards']
796;['QUANTITY: 55milliliter', 'ORGANIZATION: DBA {den blå avis}']
797;['WORK OF ART: Den store bagedyst', 'ORGANIZATION: FN {united nations}', 'PERSON: Kim Kardashian']
798;['EVENT: finanskrisen', 'GPE: Hviderusland']
799;['QUANTITY: 96 m']
800;['FACILITY: Christiansborg']
801;['PERSON: Ruth Kjær Vilhelmsen']
802;['QUANTITY: 218 cm', 'CARDINAL: seks']
803;['WORK OF ART: Stratego']
804;['NORP: svenske']
805;['PERCENT: 31 %', 'MONEY: 7417kr.']
806;['PERSON: Berthelsen', 'ORDINAL: 15.']
807;['MONEY: 1 peso']
808;['CARDINAL: halvdelen']
809;['LAW: direktiv nr. 88/77/EØF']
810;['QUANTITY: 61 meter']
811;['EVENT: 2. Slesviske krig']
812;['PERSON: Paw Bluhme Kjærsgaard', 'FACILITY: Eiffeltårnet', 'LANGUAGE: tjekkisk']
813;['ORGANIZATION: DSB {trains}', 'PERSON: Susanne Bier']
814;"['QUANTITY: 259 KG', ""LAW: Artikel fire i USA's forfatning""]"
815;['NORP: nordmænd', 'ORGANIZATION: TV2']
816;['PRODUCT: Erdinger Weissbier', 'EVENT: Dansk Melodi Grand Prix {singing contest}', 'NORP: Nye Borgerlige']
817;['QUANTITY: 2599 kg']
818;['PERSON: Krogh', 'PERCENT: 60 %']
819;['LAW: LOV nr 1430', 'PERCENT: 99 %']
820;['LAW: Lov om Værnepligt af 1912']
821;['WORK OF ART: Game of Thrones']
822;['DATE: Mandag', 'NORP: de kristne', 'PERCENT: 35 %']
823;['FACILITY: E2 {highway}', 'ORGANIZATION: Copenhagen Business Academy']
824;['PERCENT: sytten procent']
825;['GPE: Irland']
826;['PRODUCT: Xperia 10 V']
827;['GPE: Aalborg']
828;['TIME: 12:00:00']
829;['CARDINAL: syv', 'LANGUAGE: yoruba']
830;['QUANTITY: 40m', 'QUANTITY: halvfems hundrede mg']
831;['EVENT: Golden Globe Awards']
832;['WORK OF ART: Jagten', 'DATE: næste måned']
833;['NORP: Alternativet (Å)', 'LANGUAGE: norsk', 'NORP: dansker', 'LAW: § 9 i lov nr. 395 ']
834;['PRODUCT: Kindle']
835;['CARDINAL: halvdelen']
836;['PERSON: Tinka']
837;['PERSON: Elna H. Eskildsens', 'ORGANIZATION: Carlsberg', 'WORK OF ART: Hævnen']
838;['PERSON: Simon Spies', 'GPE: Israels']
839;['PERSON: Freddy', 'LOCATION: Randers SØ']
840;['NORP: muslimerne', 'GPE: Stockholms', 'PERCENT: 32 %']
841;['LAW: Lukkeloven']
842;['MONEY: femten EUR']
843;['MONEY: 196kroner']
844;['MONEY: 25kr']
845;['GPE: Elfenbenskysten', 'NORP: Kristendemokraterne', 'DATE: i dag']
846;['PERSON: Catrine Trine', 'ORGANIZATION: PostNord ABs', 'LOCATION: Cabrera-øgruppen']
847;['GPE: Polen', 'LOCATION: Østeuropa']
848;['GPE: Farsøs', 'MONEY: halvtreds tusinde KR']
849;['PRODUCT: Airpods', 'WORK OF ART: Brudstykker af en Landsbydegns dagbog']
850;['ORGANIZATION: New York Times']
851;['PERSON: Sif Due Yilmaz']
852;['PERSON: Aage Høyers', 'MONEY: tre kronor', 'GPE: Tórshavn']
853;['QUANTITY: 4 centiliter']
854;['DATE: idag', 'TIME: 9.15']
855;['LANGUAGE: koreansk', 'GPE: Galten']
856;['PERCENT: 57 %', 'ORGANIZATION: Postnords', 'ORDINAL: første', 'LOCATION: Nordsjælland']
857;['LOCATION: Aalborg SØ', 'GPE: Hammel', 'MONEY: halvfems hundrede kr', 'GPE: Kölns']
858;['GPE: Dronninglunds']
859;['TIME: 23:57']
860;['PERCENT: 89 %', 'PERSON: Ina K. Bjerregaards']
861;['NORP: Kristne']
862;['GPE: Espergærde']
863;['QUANTITY: 244 centimeter']
864;['PERCENT: 50%', 'PRODUCT: Everyday Tote Bag', 'GPE: Oslo', 'QUANTITY: nitten cl']
865;['CARDINAL: 1', 'PERCENT: tres procent']
866;['MONEY: 176KR']
867;['DATE: 13. Sep 19', 'LANGUAGE: svensk']
868;['LAW: Kongeloven', 'LOCATION: Nordishavet']
869;['GPE: Senegal', 'NORP: dansk', 'MONEY: 107KR']
870;['WORK OF ART: Afdeling Q-filmene']
871;['PERCENT: 48.11%', 'QUANTITY: 241 mL', 'FACILITY: Beijing Daxing International Airport']
872;['LOCATION: Midtfyn', 'GPE: Stockholm', 'NORP: Enhedslisten (Ø)', 'PERSON: Johan']
873;['ORGANIZATION: USTCs']
874;['PRODUCT: Wonder Perfect Mascara 4D 01 Black']
875;['PERSON: Vagns']
876;['CARDINAL: 2,5']
877;['WORK OF ART: Sover Dolly på ryggen?', 'PERSON: Irene Krarup', 'PERSON: Michelle Yilmaz']
878;['NORP: svensk']
879;['LAW: ligningslovens § 16 H, stk. 6', 'TIME: 5 minutter over 16', 'EVENT: Massakren på Utøya']
880;['DATE: ni år']
881;['ORGANIZATION: Europa-Parliamentet']
882;['PERSON: Storm P.']
883;['CARDINAL: 931']
884;['EVENT: nytår', 'LOCATION: Langeland']
885;['LANGUAGE: oromo']
886;['ORGANIZATION: Institut for Statskundskab']
887;['PERCENT: atten procent']
888;['QUANTITY: 176 KG', 'PERSON: Mikala P. Schrøder', 'GPE: Aars']
889;['WORK OF ART: Bezzerwizzer Familie {board game}']
890;['PERSON: James Bond', 'DATE: en måned']
891;['PERSON: Kirstines', 'QUANTITY: tre tusinde tomme']
892;['GPE: Nordkoreas']
893;['MONEY: 241dollars', 'PERSON: Cornelius Graversen', 'WORK OF ART: Krøniken']
894;['LAW: § 1, stk. 2', 'TIME: kl 09:11']
895;['QUANTITY: 193 dusin', 'DATE: Søndag', 'GPE: Sorøs']
896;['ORGANIZATION: CBS {university}']
897;['MONEY: £8048']
898;['WORK OF ART: Fiskerne']
899;['PERSON: Tara']
900;['PERSON: Troels Lund Poulsen']
901;['LANGUAGE: koreansk', 'TIME: kl. 08.10', 'ORGANIZATION: Institut for Veterinær- og Husdyrvidenskab', 'LOCATION: Nordsjælland']
902;['PERCENT: otte procent', 'QUANTITY: 295 KG']
903;['GPE: Horsens']
904;['PERCENT: nitten procent', 'LOCATION: Anholt', 'LOCATION: Sjælland']
905;['ORGANIZATION: Garmin', 'PRODUCT: Vivofit 4']
906;['ORDINAL: første', 'PERCENT: 77 %']
907;['DATE: Tirsdag', 'GPE: Præstøs', 'LANGUAGE: urdu']
908;['QUANTITY: halvfems L', 'PERSON: Sanne Axelsen Jannerup']
909;['WORK OF ART: Final Fantasy', 'PERCENT: 88%']
910;['PERCENT: 10 %', 'TIME: i går morges']
911;['DATE: 12. Oktober 1985', 'QUANTITY: atten m']
912;['ORGANIZATION: Veluxs', 'FACILITY: Kramboden', 'LOCATION: Falster', 'PERSON: @braithwaiteofficial']
913;['QUANTITY: halvfems hundrede KM']
914;['WORK OF ART: Kongens fald ']
915;['PERSON: Sonja']
916;['QUANTITY: 2597 dekameter', 'FACILITY: Kastellet']
917;['MONEY: 178danske kroner']
918;['PERCENT: atten procent']
919;['ORGANIZATION: KIF Kolding {handball team}']
920;['PERSON: Milans']
921;['GPE: Randers']
922;['LANGUAGE: dansk', 'LOCATION: Skagen Gren']
923;['DATE: 06. August 2013']
924;['GPE: Allerød']
925;['PERSON: Vilhelm']
926;['PERSON: Anakin Skywalkers']
927;['LANGUAGE: dansk', 'TIME: 15.30']
928;['PERSON: Naya', 'WORK OF ART: 9000 Chancer', 'PERCENT: 8 %']
929;['PERCENT: 35 %']
930;['FACILITY: Garderkasernen', 'MONEY: tre kroner']
931;['GPE: New York']
932;['WORK OF ART: Sex and the City', 'NORP: dansk']
933;['FACILITY: Musikhuset', 'EVENT: Slaget ved Dybbøl', 'ORGANIZATION: NASA']
934;['PERSON: Lara', 'PRODUCT: Påfuglestolen']
935;['MONEY: 109 kroner']
936;['QUANTITY: 78 m', 'PERSON: Berit Seemann Fogh']
937;['PERCENT: 81.79%', 'MONEY: 61pund']
938;['DATE: fire uger', 'PERSON: Osman', 'PERSON: Jeppe']
939;['PERCENT: 99 %']
940;['FACILITY: Grundtvigs Kirke']
941;['CARDINAL: 203']
942;['MONEY: 8048 Dkk']
943;['LANGUAGE: kinesisk']
944;['DATE: 27-04-1984', 'WORK OF ART: Hamlet']
945;['GPE: Danmark', 'PERSON: Simona Ahmed Thomasen']
946;['PERCENT: 69%', 'ORGANIZATION: højesterets', 'MONEY: syv kroner']
947;['PERSON: Christian Milad']
948;['DATE: Lørdag']
949;['GPE: Kolding']
950;['GPE: Nakskov', 'PERCENT: 89 %', 'TIME: kl. 10.00']
