entity,context,TYPE
Enhedslisten,,NORP
Radikale Venstre,,NORP
Radikale Venstre,,NORP
Radikale Venstre,,NORP
Dansk Folkeparti,,NORP
Dansk Folkeparti,,NORP
Dansk Folkeparti,,NORP
Alternativet,,NORP
Alternativet,,NORP
Alternativet,,NORP
Nye Borgerlige,,NORP
Nye Borgerlige,,NORP
Nye Borgerlige,,NORP
Siumut,,NORP
Inuit Ataqatigiit,,NORP
Sambandsflokkurin,,NORP
Javnaðarflokkurin,,NORP
Socialdemokratiet (S),,NORP
Soc.Dem,,NORP
Venstre (V),,NORP
"Venstre, Danmarks Liberale Parti",,NORP
SF,political party,NORP
SF - Socialistisk Folkeparti,,NORP
Moderaterne (M),,NORP
Danmarksdemokraterne (DD),,NORP
Liberal Alliance (LA),,NORP
LA,political party,NORP
De Konservative,,NORP
Konservative,,NORP
De Rød-Grønne,,NORP
Enhedslisten (Ø),,NORP
De Radikale,,NORP
Det Radikale Venstre,,NORP
RV,political party,NORP
DF,political party,NORP
Dansk Folkeparti (DF),,NORP
Alternativet (Å),,NORP
Nye Borgerlige (NB),,NORP
Frie Grønne,,NORP
Kristendemokraterne,,NORP
Stram Kurs,,NORP
Ny Alliance,,NORP
Veganerpartiet,,NORP
Kristne,,NORP
Kristne,,NORP
Kristne,,NORP
de kristne,,NORP
de kristne,,NORP
de kristne,,NORP
muslimsk,,NORP
muslimsk,,NORP
muslimsk,,NORP
muslimer,,NORP
muslimer,,NORP
muslimer,,NORP
muslimerne,,NORP
muslimerne,,NORP
muslimerne,,NORP
buddhister,,NORP
buddhisterne,,NORP
buddhistisk,,NORP
hinduer,,NORP
hinduerne,,NORP
jøder,,NORP
jøderne,,NORP
jødisk,,NORP
sikher,,NORP
ateister,,NORP
ateisterne,,NORP
de areligiøse,,NORP
de irreligiøse,,NORP
hinduistiske trossamfund,,NORP
muslimske trossamfund,,NORP
kristne trossamfund,,NORP
konvertitbuddhister,,NORP
det ortodokse kristne trossamfund,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
danskere,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansker,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
dansk,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
danske,,NORP
svenskere,,NORP
svenskere,,NORP
svenskere,,NORP
svensker,,NORP
svensker,,NORP
svensker,,NORP
svensk,,NORP
svensk,,NORP
svensk,,NORP
svenske,,NORP
svenske,,NORP
svenske,,NORP
tyskere,,NORP
tyskere,,NORP
tyskere,,NORP
tysker,,NORP
tysker,,NORP
tysker,,NORP
tysk,,NORP
tysk,,NORP
tysk,,NORP
tyske,,NORP
tyske,,NORP
tyske,,NORP
polsk,,NORP
polsk,,NORP
polsk,,NORP
polakker,,NORP
polakker,,NORP
polakker,,NORP
indere,,NORP
tyrkere,,NORP
tyrkerne,,NORP
tyrkiske,,NORP
nordmænd,,NORP
nordmænd,,NORP
nordmænd,,NORP
norsk,,NORP
norsk,,NORP
norsk,,NORP
norske,,NORP
norske,,NORP
norske,,NORP
franskmænd,,NORP
franske,,NORP
spanierne,,NORP
spaniere,,NORP
spanioler,,NORP
italiener,,NORP
italienerne,,NORP
aztekere,,NORP
romænere,,NORP
kinesere,,NORP
kinserne,,NORP
japanerne,,NORP
iranerne,,NORP
koreanerne,,NORP
vietnamesere,,NORP
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
første,,ORDINAL
anden,,ORDINAL
anden,,ORDINAL
anden,,ORDINAL
anden,,ORDINAL
anden,,ORDINAL
tredje,,ORDINAL
tredje,,ORDINAL
tredje,,ORDINAL
tredje,,ORDINAL
tredje,,ORDINAL
fjerde,,ORDINAL
femte,,ORDINAL
sjette,,ORDINAL
syvende,,ORDINAL
ottende,,ORDINAL
niende,,ORDINAL
tiende,,ORDINAL
sekstende,,ORDINAL
trettende,,ORDINAL
hundredende,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
1.,,ORDINAL
2.,,ORDINAL
2.,,ORDINAL
2.,,ORDINAL
2.,,ORDINAL
2.,,ORDINAL
3.,,ORDINAL
3.,,ORDINAL
3.,,ORDINAL
4.,,ORDINAL
5.,,ORDINAL
6.,,ORDINAL
7.,,ORDINAL
8.,,ORDINAL
9.,,ORDINAL
10.,,ORDINAL
11.,,ORDINAL
12.,,ORDINAL
13.,,ORDINAL
14.,,ORDINAL
15.,,ORDINAL
16.,,ORDINAL
17.,,ORDINAL
18.,,ORDINAL
19.,,ORDINAL
20.,,ORDINAL
21.,,ORDINAL
22.,,ORDINAL
23.,,ORDINAL
24.,,ORDINAL
25.,,ORDINAL
Bagsværd Lakrids,,ORGANIZATION
Salling Group,,ORGANIZATION
Føtex,,ORGANIZATION
Netto,,ORGANIZATION
Rema 1000,,ORGANIZATION
Superbrugsen,,ORGANIZATION
Dagli' Brugsen,,ORGANIZATION
Carlsberg,,ORGANIZATION
ISS,international service system,ORGANIZATION
Arla,,ORGANIZATION
Arla Foods,,ORGANIZATION
Vestas,,ORGANIZATION
Vestas Wind Systems,,ORGANIZATION
USTC,,ORGANIZATION
Ørsted,,ORGANIZATION
DONG energy,,ORGANIZATION
Novo,medical company,ORGANIZATION
Novo Nordisk,,ORGANIZATION
DSV,,ORGANIZATION
Maersk,,ORGANIZATION
Mærsk,,ORGANIZATION
e-Boks Nordic A/S,,ORGANIZATION
Lego A/S,,ORGANIZATION
Coop Danmark A/S,,ORGANIZATION
Coop,,ORGANIZATION
Siemens Gamesa Renewable Energy A/S,,ORGANIZATION
Danish Crown,,ORGANIZATION
Pandora,,ORGANIZATION
Bestseller,,ORGANIZATION
Velux,,ORGANIZATION
Lundbeck,,ORGANIZATION
Dagrofa Logistik,,ORGANIZATION
Circle K Danmark A/S,,ORGANIZATION
DSB,trains,ORGANIZATION
BYGMA,,ORGANIZATION
OK,energy company,ORGANIZATION
Nets,payment system,ORGANIZATION
Stark,,ORGANIZATION
Danish Agro,,ORGANIZATION
Elgiganten A/S,,ORGANIZATION
Andel Energi,,ORGANIZATION
Tulip Food Company,,ORGANIZATION
Mercedes-Benz,,ORGANIZATION
DLA Agro AmbA,,ORGANIZATION
Power A/S,electronics company,ORGANIZATION
Post Danmark,,ORGANIZATION
Postnord,,ORGANIZATION
Ikea,,ORGANIZATION
Uno-X,,ORGANIZATION
Matas,,ORGANIZATION
Dupont Nutrition Biosciences ApS,,ORGANIZATION
Grundfos Holding,,ORGANIZATION
Copenhagen Business Academy,,ORGANIZATION
Erhvervsakademi Aarhus,,ORGANIZATION
Zealand - Sjællands Erhvervsakademi,,ORGANIZATION
Arkitektskolen Aarhus,,ORGANIZATION
Designskolen,,ORGANIZATION
Designskolen Kolding,,ORGANIZATION
Fredericia Maskinmesterskole,,ORGANIZATION
MARTEC,,ORGANIZATION
SIMAC - Svendborg International Maritime Academy,,ORGANIZATION
Århus Maskinmesterskole,,ORGANIZATION
Danmarks Medie- og Journalisthøjskole,,ORGANIZATION
DMJX,journalism school,ORGANIZATION
University College SYD,,ORGANIZATION
VIA University College,,ORGANIZATION
VIA,university,ORGANIZATION
Aarhus Universitet,,ORGANIZATION
AU,university,ORGANIZATION
Aarhus Uni,,ORGANIZATION
Aalborg Universitet,,ORGANIZATION
DTU,university,ORGANIZATION
Danmarks Tekniske Universitet,,ORGANIZATION
CBS,university,ORGANIZATION
Copenhagen Business School,,ORGANIZATION
Roskilde Universitet,,ORGANIZATION
RUC,university,ORGANIZATION
Syddansk,,ORGANIZATION
Syddansk Universitet,,ORGANIZATION
KU,university,ORGANIZATION
Københavns Universitet,,ORGANIZATION
Berlingske Media,,ORGANIZATION
Berlingske,,ORGANIZATION
KiMs,,ORGANIZATION
JP/Politikens Hus,,ORGANIZATION
JP,media,ORGANIZATION
Jyllands-Posten,,ORGANIZATION
Politiken,,ORGANIZATION
Information,,ORGANIZATION
Zetland,,ORGANIZATION
B.T.,,ORGANIZATION
Ekstra Bladet,,ORGANIZATION
Presselogen,,ORGANIZATION
Jysk Fynske Medier,,ORGANIZATION
Nordjyske Medier,,ORGANIZATION
Stiftstidende,,ORGANIZATION
Fyens Stiftstidende,,ORGANIZATION
Infomedia,,ORGANIZATION
Scanpix,,ORGANIZATION
Podimo,,ORGANIZATION
DR,media,ORGANIZATION
Danmarks Radio,,ORGANIZATION
TV2,,ORGANIZATION
Viaplay,,ORGANIZATION
youSee,,ORGANIZATION
Disney,,ORGANIZATION
C MORE,,ORGANIZATION
HBO,,ORGANIZATION
Amazon,,ORGANIZATION
Amazon Prime,,ORGANIZATION
Netflix,,ORGANIZATION
hayu,,ORGANIZATION
Eurosport,,ORGANIZATION
Danske Spil,,ORGANIZATION
Sund & Bælt Holding A/S,,ORGANIZATION
TV2|DANMARK,,ORGANIZATION
PostNord AB,,ORGANIZATION
SAS AB,,ORGANIZATION
SAS,airline,ORGANIZATION
Scandinavian Airlines,,ORGANIZATION
Energinet,,ORGANIZATION
Naviair,,ORGANIZATION
Apple,company,ORGANIZATION
Microsoft,,ORGANIZATION
Saudi Aramco,,ORGANIZATION
Alphabet,,ORGANIZATION
Google,,ORGANIZATION
NVIDIA,,ORGANIZATION
Meta,company,ORGANIZATION
Facebook,,ORGANIZATION
Snap,snapchat,ORGANIZATION
FB,facebook,ORGANIZATION
Snapchat,,ORGANIZATION
Insta,instagram,ORGANIZATION
IG,instagram,ORGANIZATION
Instagram,,ORGANIZATION
Twitter,,ORGANIZATION
Berkshire Hathaway,,ORGANIZATION
Visa,,ORGANIZATION
TESLA,,ORGANIZATION
TikTok,,ORGANIZATION
National Banken,,ORGANIZATION
PRIME,beverages,ORGANIZATION
Egedal kommune,,ORGANIZATION
Ishøj kommune,,ORGANIZATION
Glostrup kommune,,ORGANIZATION
Favrskov kommune,,ORGANIZATION
Viborg kommune,,ORGANIZATION
Rebild kommune,,ORGANIZATION
Silkeborg kommune,,ORGANIZATION
Køge kommune,,ORGANIZATION
Odsherred kommune,,ORGANIZATION
byretten,,ORGANIZATION
landsretten,,ORGANIZATION
højesteret,,ORGANIZATION
byretterne,,ORGANIZATION
landsretterne,,ORGANIZATION
Danmarks Domstole,,ORGANIZATION
politiet,,ORGANIZATION
forsvaret,,ORGANIZATION
folketinget,,ORGANIZATION
FC. København,,ORGANIZATION
FCK,football team,ORGANIZATION
Brøndby,football team,ORGANIZATION
BIF,football team,ORGANIZATION
Silkeborg,football team,ORGANIZATION
SIF,football team,ORGANIZATION
Nordsjælland,football team,ORGANIZATION
Midtjylland,football team,ORGANIZATION
AGF,football team,ORGANIZATION
OB,football team,ORGANIZATION
Randers,football team,ORGANIZATION
Viborg,football team,ORGANIZATION
Manchester United,,ORGANIZATION
United,football team,ORGANIZATION
Liverpool,football team,ORGANIZATION
Chelsea,,ORGANIZATION
Barcelona,football team,ORGANIZATION
FC Barcelona,,ORGANIZATION
Real Madrid,,ORGANIZATION
Aalborg Håndbold,,ORGANIZATION
Fredericia HK,handball team,ORGANIZATION
Mors-Thy Håndbold,,ORGANIZATION
Bjerringbro-Silkeborg,handball team,ORGANIZATION
GOG,handball team,ORGANIZATION
Skjern,handball team,ORGANIZATION
SønderjyskE,handball team,ORGANIZATION
TTH Holsterbro,handball team,ORGANIZATION
KIF Kolding,handball team,ORGANIZATION
herrelandsholdet,,ORGANIZATION
kvindelandsholdet,,ORGANIZATION
Superligaen,,ORGANIZATION
Fortuna Hjørring,,ORGANIZATION
Bakken Bears,,ORGANIZATION
Svendborg Rabbits,,ORGANIZATION
Herning Blue Fox,,ORGANIZATION
Aalborg Pirates,,ORGANIZATION
Dallas Cowboys,,ORGANIZATION
Arizon Cardinals,,ORGANIZATION
The Packers,football team,ORGANIZATION
Los Angeles Rams,,ORGANIZATION
Miami Dolphins,,ORGANIZATION
The Patriots,,ORGANIZATION
Cleveland Brows,,ORGANIZATION
Celtics,basketball team,ORGANIZATION
New York Knicks,,ORGANIZATION
Houston Rockets,,ORGANIZATION
EU,,ORGANIZATION
Europæiske Union,,ORGANIZATION
Europa-Parliamentet,,ORGANIZATION
Europa-Kommisionen,,ORGANIZATION
FN,united nations,ORGANIZATION
Forenede Nationer,,ORGANIZATION
NATO,,ORGANIZATION
NATO-alliancen,,ORGANIZATION
Klima- og Energiministeriet,,ORGANIZATION
Landbrugsministeriet,,ORGANIZATION
Skatteministeriet,,ORGANIZATION
Justitsministeriet,,ORGANIZATION
Finansministeriet,,ORGANIZATION
Ministeriet for Digitalisering,,ORGANIZATION
SKAT,,ORGANIZATION
OISTER,,ORGANIZATION
Fibia,,ORGANIZATION
Telia,,ORGANIZATION
Telenor,,ORGANIZATION
"Institut for Engelsk, Germansk og Romansk",,ORGANIZATION
Saxo-Instituttet,,ORGANIZATION
Institut for Fødevarevidenskab,,ORGANIZATION
Niels Bohr Institutet,,ORGANIZATION
Institut for Statskundskab,,ORGANIZATION
Institut for Veterinær- og Husdyrvidenskab,,ORGANIZATION
Billedbladet,,ORGANIZATION
Se og Hør,,ORGANIZATION
DBA,den blå avis,ORGANIZATION
Den Blå Avis,,ORGANIZATION
PepsiCo,,ORGANIZATION
Coca-Cola,,ORGANIZATION
SONY,,ORGANIZATION
Huawei,,ORGANIZATION
Disney,,ORGANIZATION
Shell,,ORGANIZATION
NIKE,,ORGANIZATION
adidas,,ORGANIZATION
Spotify,,ORGANIZATION
SpaceX,,ORGANIZATION
Nintendo,,ORGANIZATION
NASA,,ORGANIZATION
FBI,,ORGANIZATION
CIA,,ORGANIZATION
PET,politiets efterretningstjeneste,ORGANIZATION
Buzzfeed,,ORGANIZATION
New York Times,,ORGANIZATION
Fox News,,ORGANIZATION
CNN,,ORGANIZATION
The Sun,,ORGANIZATION
The Mirror,,ORGANIZATION
The Guardian,,ORGANIZATION
Louisiana,museum,ORGANIZATION
AROS,museum,ORGANIZATION
Kremlin,,ORGANIZATION
Det Hvide Hus,,ORGANIZATION
@twittter,,ORGANIZATION
@NASA,,ORGANIZATION
@cnnbrk,,ORGANIZATION
@CNN,,ORGANIZATION
@nytimes,,ORGANIZATION
@tv2nyhederne,,ORGANIZATION
@superligaen,,ORGANIZATION
@NBA,,ORGANIZATION
@premierleague,,ORGANIZATION
KiMs Chips,,PRODUCT
kims chips,,PRODUCT
Big Mac,,PRODUCT
Smarties,,PRODUCT
Fanta Exotic,,PRODUCT
Kit Kat,,PRODUCT
P-tærter,,PRODUCT
Kinderæg,,PRODUCT
Dumle Slikkepind,,PRODUCT
Faxe Kondi,,PRODUCT
Faxe Kondi Free,,PRODUCT
Ceres Top,,PRODUCT
Tuborg Grøn,,PRODUCT
Tuborg Classic,,PRODUCT
Pepsi Max,,PRODUCT
Blanc,beer,PRODUCT
1664 Blanc,,PRODUCT
Odense 1859,beer,PRODUCT
Cola Zero,,PRODUCT
Odense Pilsner,,PRODUCT
Erdinger Weissbier,,PRODUCT
"Macbook Air 15"" M2",,PRODUCT
iPhone,,PRODUCT
Macbook,,PRODUCT
Nintendo Switch,,PRODUCT
Playstation 5,,PRODUCT
PS5,,PRODUCT
ThinkPad,,PRODUCT
GoPro MAX,,PRODUCT
Mac Pro,,PRODUCT
iPhone 14 Plus,,PRODUCT
Airpods,,PRODUCT
Chromecast,,PRODUCT
Desert Eagle,,PRODUCT
AR47,weapon,PRODUCT
AK-47,weapon,PRODUCT
AR-15,weapon,PRODUCT
Air Max 90 GTX,,PRODUCT
Air Force 1 '07 LV8,,PRODUCT
Emma Electric Kettle,,PRODUCT
Barbie drømmecamper-eventyr,,PRODUCT
Explore 6 Airfryer,,PRODUCT
Combi XXL Connected Airfryer,,PRODUCT
Titanium Chef Baker XL,,PRODUCT
VitaBoost Blender MMBH6P6B,,PRODUCT
VitaPower Blender MMB6141B,,PRODUCT
Easy pro frituregryde FR333070,,PRODUCT
Duraceramic sandwichtoaster,,PRODUCT
Bugles,chips,PRODUCT
Foodi Max AF400,,PRODUCT
Thermoball Traction Winter Mules,,PRODUCT
Xbox Series X,,PRODUCT
Xbox,,PRODUCT
Gameboy,,PRODUCT
Deluxe Railway Set,toy,PRODUCT
OneBlade Pro,,PRODUCT
Flowerpot VP9,,PRODUCT
Men's Atom Hoody,,PRODUCT
Xperia 10 V,,PRODUCT
Acqua Di Gio Deodorant Spray,,PRODUCT
Big Pony Women Pink Eau de Toilette,,PRODUCT
Deo Pure Roll-On,,PRODUCT
Crush Cheirosa '62 Body Mist,,PRODUCT
L.12.12 White Deodorant Spray,,PRODUCT
Donna Born in Roma Eau de Parfum,,PRODUCT
Wonder Perfect Mascara 4D 01 Black,,PRODUCT
Telescopic Mascara Black,,PRODUCT
Extended Play Gigablack Lash Intense Black,,PRODUCT
Duo Concealer,,PRODUCT
Facestudio Lasting Fix Spray,,PRODUCT
Addict Lip Maximizer 001 Pink,,PRODUCT
Curly Low-Poo Shampoo,,PRODUCT
Nutritive Overnight Serum,,PRODUCT
Luna Parka 4,,PRODUCT
Kiruna Padded Parka,,PRODUCT
Daylite Plus rygsæk,,PRODUCT
Sirrus 46 vandrerygsæk,,PRODUCT
Apple Watch,,PRODUCT
iPad,,PRODUCT
Aben,wooden figure,PRODUCT
PH Snowball,lamp,PRODUCT
Ægget,chair,PRODUCT
Påfuglestolen,,PRODUCT
Kähler vase,,PRODUCT
Bikuben,lamp,PRODUCT
Sinus Pendel,,PRODUCT
Knoglestolen,,PRODUCT
Skippers Lakridspibe,,PRODUCT
PS2,,PRODUCT
Click Mix,candy,PRODUCT
Passat,car,PRODUCT
Golf,car,PRODUCT
Rubiks terning,,PRODUCT
Splash Vase Round,,PRODUCT
Hammershøi Vase,,PRODUCT
Jackie Year Bird 2023,wooden figure,PRODUCT
Kubus,candlestick,PRODUCT
Gytha gås,decoration,PRODUCT
Eva Lysestage ,,PRODUCT
Matima O-Neck Tee,,PRODUCT
Kaleem Crop Blazer,,PRODUCT
Brook Knit Rib Cardigan,,PRODUCT
Tommy Teddy Snowboot,,PRODUCT
Tosca Anju Hat,,PRODUCT
Organic Thor Tee,t-shirt,PRODUCT
Blåvand 1/2 Zip Fleece,,PRODUCT
Tornø Badedragt,,PRODUCT
Trek badesandal,,PRODUCT
Duvet Dream Pillow Bag,,PRODUCT
Base Camp Duffel,,PRODUCT
Everyday Tote Bag,,PRODUCT
Nokia 3310,,PRODUCT
Gameboy,,PRODUCT
Wii,,PRODUCT
Fidget spinner,,PRODUCT
Kindle,,PRODUCT
Oculus Rift,,PRODUCT
NATURLI' havredrik,,PRODUCT
Oatly Oat Drink Barista,,PRODUCT
Ben & Jerry's Cookie Dough,,PRODUCT
Beyond burgerbøf,,PRODUCT
Lego Juletræ,,PRODUCT
LEGO Colosseum,,PRODUCT
Lego X-wing-stjernejager,,PRODUCT
i går morges,,TIME
i aftes,,TIME
i aftes,,TIME
i aftes,,TIME
i aftes,,TIME
i aftes,,TIME
i aften,,TIME
i aften,,TIME
i aften,,TIME
i aften,,TIME
i aften,,TIME
i nat,,TIME
i nat,,TIME
i nat,,TIME
i nat,,TIME
i nat,,TIME
i morges,,TIME
i morges,,TIME
i morges,,TIME
i morges,,TIME
i morges,,TIME
formiddag,,TIME
formiddag,,TIME
formiddag,,TIME
formiddag,,TIME
formiddag,,TIME
eftermiddag,,TIME
eftermiddag,,TIME
eftermiddag,,TIME
eftermiddag,,TIME
eftermiddag,,TIME
om dagen,,TIME
om dagen,,TIME
om dagen,,TIME
om dagen,,TIME
om dagen,,TIME
om natten,,TIME
om natten,,TIME
om natten,,TIME
om natten,,TIME
om natten,,TIME
to minutter,,TIME
1 minut,,TIME
2 minutter,,TIME
to minutter,,TIME
fem minutter,,TIME
5 minutter,,TIME
10 minutter,,TIME
10 min,,TIME
20 min,,TIME
90 minutter,,TIME
et kvarter,,TIME
en time,,TIME
en halv time,,TIME
et halvt døgn,,TIME
to timer,,TIME
10 timer,,TIME
5-10 timer,,TIME
14-16 minutter,,TIME
30-45 minutter,,TIME
kl 13.30,,TIME
kl 10.00,,TIME
kl 06.48,,TIME
kl 05.00,,TIME
kl 09:11,,TIME
kl 22:28,,TIME
kl 10:15,,TIME
kl. 14.10,,TIME
kl. 17.00,,TIME
kl. 08.10,,TIME
kl. 03.00,,TIME
kl. 10.00,,TIME
15:28,,TIME
02:58,,TIME
23:57,,TIME
21:20,,TIME
20:00,,TIME
15.30,,TIME
17.30,,TIME
19.00,,TIME
23.00,,TIME
08.15,,TIME
9.15,,TIME
16.10,,TIME
22:30:00,,TIME
16:31:59,,TIME
12:00:00,,TIME
10-16,,TIME
12.00-16.15,,TIME
13.00-23.00,,TIME
06.00-15.00,,TIME
04:30-10.00,,TIME
18:15-19.15,,TIME
10.00 - 11.00,,TIME
12.30 - 14.15,,TIME
20.00 - 20.30,,TIME
5 minutter over 16,,TIME
klokken halv syv,,TIME
Erasmus Montanus,,WORK OF ART
Brudstykker af en Landsbydegns dagbog,,WORK OF ART
Enten-Eller,,WORK OF ART
Fru Marie Grubbe,,WORK OF ART
Lykke-Per,,WORK OF ART
Kongens fald ,,WORK OF ART
Pelle Erobreren,,WORK OF ART
Fiskerne,,WORK OF ART
Hærværk,,WORK OF ART
Den Afrikanske Farm ,,WORK OF ART
Det forsømte forår,,WORK OF ART
Barndommens Gade,,WORK OF ART
Løgneren,,WORK OF ART
Den kroniske uskyld,,WORK OF ART
Midt i en jazztid,,WORK OF ART
Helt og heltinde,,WORK OF ART
Ægteskabet mellem vejen og udvejen,,WORK OF ART
Rødby-Puttgarden,,WORK OF ART
Selskabet,,WORK OF ART
Huden er det elastiske hylster der omgiver hele legemet,,WORK OF ART
Blinkende lygter,,WORK OF ART
Druk,,WORK OF ART
Den eneste ene,,WORK OF ART
Olsen Banden-filmene,,WORK OF ART
Adams æbler,,WORK OF ART
De grønne slagtere,,WORK OF ART
Jagten,,WORK OF ART
Afdeling Q-filmene,,WORK OF ART
Nattevagten,,WORK OF ART
I Kina spiser de hunde,,WORK OF ART
Hævnen,,WORK OF ART
Fasandræberne,,WORK OF ART
"Ser du månen, Daniel",,WORK OF ART
R,movie,WORK OF ART
Kapringen,,WORK OF ART
Blå mænd,,WORK OF ART
Mens vi lever,,WORK OF ART
Under sandet,,WORK OF ART
Supervoksen,,WORK OF ART
En frygtelig kvinde,,WORK OF ART
En kongelig affære,,WORK OF ART
Sover Dolly på ryggen?,,WORK OF ART
Underverden,,WORK OF ART
Kom Tilbage Nu,,WORK OF ART
Sømand Af Verden,,WORK OF ART
Kærligheden Kalder,,WORK OF ART
Det Er Mig Der Står Herude og Banker På,,WORK OF ART
Kvinde Min,,WORK OF ART
Bag Duggede Ruder,,WORK OF ART
Jeg Ved Det Godt,,WORK OF ART
Let Your Fingers Do The Walking,,WORK OF ART
Den Jeg Elsker,,WORK OF ART
»Vi Tager Fuglen på Dig« ,,WORK OF ART
Uden Forsvar,,WORK OF ART
Alle Har En Drøm At Befri,,WORK OF ART
En Dag Tilbage,,WORK OF ART
København,,WORK OF ART
Proletar (Hvor Jeg Står),,WORK OF ART
Velkommen Til Medina,,WORK OF ART
»De Første Kærester på Månen«,,WORK OF ART
Det Er Knud Som Er Død,,WORK OF ART
Engel,song,WORK OF ART
Danmarksfilm,book,WORK OF ART
d.a.u.d.a.,song,WORK OF ART
Hjørringvej,movie,WORK OF ART
Lolland Falster,movie,WORK OF ART
De vindfølsomme,,WORK OF ART
Om udregning af rumfang,,WORK OF ART
Græshoppens år,,WORK OF ART
En digters bazar,,WORK OF ART
I dragens kløer,,WORK OF ART
Funk'erne,,WORK OF ART
Spaen,book,WORK OF ART
Mesteren og Margarita,,WORK OF ART
Måske Ikke,book,WORK OF ART
9000 Chancer,,WORK OF ART
Før daggry,,WORK OF ART
Matador,,WORK OF ART
Krøniken,,WORK OF ART
Badehotellet,,WORK OF ART
Forbrydelsen,,WORK OF ART
Rita,tv series,WORK OF ART
Borgen,,WORK OF ART
Klovn,tv series,WORK OF ART
Dicte,tv series,WORK OF ART
Arvingerne,,WORK OF ART
Broen,tv series,WORK OF ART
Sex and the City,,WORK OF ART
Game of Thrones,,WORK OF ART
Bedrag,tv series,WORK OF ART
Herrens Veje,,WORK OF ART
Sherlock,,WORK OF ART
Orange is the new Black,,WORK OF ART
Breaking Bad,,WORK OF ART
House of Cards,,WORK OF ART
Sygeplejeskolen,tv series,WORK OF ART
Alene i vildmarken,,WORK OF ART
Bachelor,tv series,WORK OF ART
Danmark har talent,,WORK OF ART
Den store bagedyst,,WORK OF ART
Divaer i Junglen,,WORK OF ART
Ex on the Beach,,WORK OF ART
Familien fra Bryggen,,WORK OF ART
For lækker til love,,WORK OF ART
Forsidefruer,,WORK OF ART
Masterchef Danmark,,WORK OF ART
Luksusfælden,,WORK OF ART
Korpset,tv series,WORK OF ART
Med kniven for struben,,WORK OF ART
Paradise Hotel,,WORK OF ART
Paradise,tv series,WORK OF ART
Robinson,,WORK OF ART
Robinson Ekspeditionen,,WORK OF ART
Sommer i Sunny Beach,,WORK OF ART
Til middag hos...,,WORK OF ART
X Factor,,WORK OF ART
X-Factor,,WORK OF ART
Fortnite,,WORK OF ART
The Legend of Zelda,,WORK OF ART
FIFA 12,,WORK OF ART
Madden NFL,,WORK OF ART
GTA,,WORK OF ART
GTA V,,WORK OF ART
Grand Theft Auto,,WORK OF ART
Final Fantasy,,WORK OF ART
Tetris,,WORK OF ART
PacMan,,WORK OF ART
Pac-Man,,WORK OF ART
Need of Speed Underground,,WORK OF ART
SIMS,,WORK OF ART
The SIMS,,WORK OF ART
Pokemon,,WORK OF ART
Pokemon GO,,WORK OF ART
Super Mario Bros 3,,WORK OF ART
Minecraft,,WORK OF ART
Biblen,,WORK OF ART
Ulysses,,WORK OF ART
In Search of Lost Time,,WORK OF ART
Don Quixote,,WORK OF ART
The Great Gatsby,,WORK OF ART
Moby Dick,,WORK OF ART
War and Peace,,WORK OF ART
Hamlet,,WORK OF ART
Odysseen,,WORK OF ART
Lolita,,WORK OF ART
Pride and Prejudice,,WORK OF ART
En Verden Udenfor,,WORK OF ART
The Godfather,,WORK OF ART
The Godfather Part II,,WORK OF ART
Schindler's Liste,,WORK OF ART
Pulp Fiction,,WORK OF ART
Forrest Gump,,WORK OF ART
Fight Club,,WORK OF ART
Fight the Power,,WORK OF ART
A Change Is Gonna Come,,WORK OF ART
Like a Rolling Stone,,WORK OF ART
Smells like Teen Spirit,,WORK OF ART
Strawberry Fields Forever,,WORK OF ART
Get Ur Freak On,,WORK OF ART
Blinding Lights,,WORK OF ART
Shape of You,,WORK OF ART
Someone You Loved,,WORK OF ART
Sunflower,,WORK OF ART
Dance Monkey,,WORK OF ART
Stay,song,WORK OF ART
One Dance,song,WORK OF ART
As It Was,song,WORK OF ART
Starboy,,WORK OF ART
Rockstar,,WORK OF ART
Uno,,WORK OF ART
Monopoly,,WORK OF ART
Partners ,,WORK OF ART
Bezzerwizzer Familie,board game,WORK OF ART
Cluedo,,WORK OF ART
Skip-Bo,,WORK OF ART
Bezzerwizzer,,WORK OF ART
Ludo,,WORK OF ART
Stratego,,WORK OF ART
1,,CARDINAL
1,,CARDINAL
1,,CARDINAL
1,,CARDINAL
1,,CARDINAL
